id,product_title,cluster
342_right,ALIENWARE AREA 51M,1
336_right,ALIENWARE M15 2019,1
387_right,Laptop Alienware 15 R4 i7 8750H-8GB-256SSD-GTX1060 6G,2
394_right,Laptop Alienware 15 R4  i7 8750H-8GB-1TB-GTX1060 6G,2
397_right,Laptop Dell Alienware 15 R3 Core i7-7700HQ,3
268_right,Laptop Dell Vostro 5490 V4I3101W i3-4G-128SSD-14inch-W10- Xám ?en,4
171_right,aptop Dell Vostro 14 3405 V4R53500U003W,4
266_right,Dell Vostro 5481 V4I5229W Urban Gray I5 8265U 4GB 1TB 14FHD Win 10,4
153_right,Laptop Dell Vostro 15 3591 V5I3308W,4
132_right,Laptop DELL Vostro 3568 -Core i5 7200U- Ram 4GB – 15 inch ??P,4
108_right,DELL Vostro V3405_V4R33250U501W-Black (AMD R3 - 3250U4GBHDD 1TB14,4
267_right,Laptop DELL Inspiron 15 5593 70196703 I3-4G-128SSD-15.6inch-W10-B?c,5
430_right,Laptop DELL Inspiron  N3573 70178837 - N5000 15.6inch ?en,5
269_right,Laptop DELL Inspiron 3593 N3593A I3-4G-1T-15.6inch-W10-?en,5
270_right,Laptop Dell Inspiron 3580 N3580A I3-4G-1T-15.6inch- B?c,5
271_right,Laptop DELL Inspiron 3593 70197457 i5-4G-1T-VGA2G-15.6inch-W10-?en,5
458_right,Laptop Dell Inspiron 3467 i5 7200U-4GB-1TB-Win10,5
169_right,"Laptop Dell Inspi 14 3493 N3493B-P89G007N3493B ( 14"" Full HD/Intel Core i5-1035G1/4GB/512GB SSD/NVIDIA GeForce MX230/Windows 10 Home SL 64-bit/2kg)",6
168_right,"Laptop Dell Insp 14 5490 FMKJV11 ( 14"" Full HD/Intel Core i5-10210U/8GB/512GB SSD/NVIDIA GeForce MX230/Windows 10 Home SL 64-bit/1.5kg)",6
170_right,"Laptop Dell Inspir 15 3505 Y1N1T1 ( 15.6"" Full HD/AMD Ryzen 3 3250U/8GB/256GB SSD/Windows 10 Home SL 64-bit/1.8kg)",6
254_left,"Laptop Dell Inspiron N3501B ( i5-1135G7/4GB/512GB SSD/ 15.6"" Full HD/Windows 10 Home SL 64-bit) Hàng chính hãng",6
102_right,Laptop DELL 7450 -i7 5600U -SSD 120G- 14in Full HD,7
272_right,Laptop DELL Ins N3493 N4I5136W I5-4G-1T-14inch-w10-?en,7
103_right,Laptop DELL 3459 - i5 6200U - SSD 120G - 14inch HD,7
152_right,Laptop DELL 7440,7
423_right,Laptop Dell 15-V5581 -I5-8265U-4GB-1TB-Win10-Gray,7
379_right,Laptop DELL Vos V3580i I5-8265U 4G 1TB 15.6inch WIN 10,8
265_right,Dell Latitude 3590 Black I7-8550U 8GB 256GB 2GB 15.6FHD W10P,9
264_right,Dell Latitude 7390 Black I5 8350U 16GB 256SS 13.3FHD Touch W10P,9
109_right,DELL G3 15 3500_70223130 Black (i5-10300H2x4GB256G SSD1TB HDD4GB GTX 1650W10LED_KBFP15.6,10
247_right,DELL G5 5500 (2020),11
100_right,Laptop Dell Gaming G5 5500 70225485 i7-10750H/8GB/512GB/15.6FHD/6GB/Win10-Hàng chính hãng new,11
410_right,Laptop DELL Vos V3568 VTI3072NF -I3-7020U15.6inch ?en,12
381_right,Laptop DELL Vos V3490 70196712 - i3-10110U 14inch ?en,12
380_right,Laptop DELL Vos V3590 V5I3505W- i3-10110 15.6inch ?en,12
412_right,Laptop DELL Ins N3476 N3476B I5-8250U 14inch ?en,12
382_right,DELL Ins N3567 N3567U I3-7020U 15.6inh ?en,12
319_right,[Freeship] DELL XPS 15 9570 Max Option,13
